event_id,ticket_id,event_time,event_type,actor_type,actor_id,event_notes
EVT-0000001,TKT-00001,2026-01-18T05:46:00,ticket_submitted,customer,CUST-003,channel=portal
EVT-0000002,TKT-00001,2026-01-18T07:56:25,ticket_triaged,it_team,IT-008,category=billing_account; priority=medium
EVT-0000003,TKT-00001,2026-01-18T08:07:21,faq_checked,it_team,IT-008,match=False; confidence=0.33
EVT-0000004,TKT-00001,2026-01-18T08:38:23,ticket_escalated,it_team,IT-008,to specialist SP-010; missing_info=True
EVT-0000005,TKT-00001,2026-01-18T10:01:52,specialist_investigation_started,it_specialist,SP-010,""
EVT-0000006,TKT-00001,2026-01-19T04:58:02,specialist_solution_created,it_specialist,SP-010,root_cause=Tax engine using stale region cache
EVT-0000007,TKT-00001,2026-01-19T05:30:50,specialist_response_drafted,it_team,IT-008,""
EVT-0000008,TKT-00001,2026-01-19T05:44:54,specialist_response_sent,it_team,IT-008,""
EVT-0000009,TKT-00001,2026-01-21T11:19:17,customer_resolution_accepted,customer,CUST-003,""
EVT-0000010,TKT-00001,2026-01-21T11:55:34,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000011,TKT-00002,2026-03-20T05:45:00,ticket_submitted,customer,CUST-007,channel=email
EVT-0000012,TKT-00002,2026-03-20T10:24:42,ticket_triaged,it_team,IT-002,category=email_calendar; priority=medium
EVT-0000013,TKT-00002,2026-03-20T11:09:55,faq_checked,it_team,IT-002,match=True; confidence=0.89
EVT-0000014,TKT-00002,2026-03-20T12:23:33,faq_response_drafted,it_team,IT-002,""
EVT-0000015,TKT-00002,2026-03-20T12:53:31,faq_response_sent,it_team,IT-002,""
EVT-0000016,TKT-00002,2026-03-22T22:48:07,customer_resolution_accepted,customer,CUST-007,""
EVT-0000017,TKT-00002,2026-03-22T23:30:34,ticket_closed,it_team,IT-002,accepted_first_attempt
EVT-0000018,TKT-00003,2026-03-22T16:00:00,ticket_submitted,customer,CUST-013,channel=portal
EVT-0000019,TKT-00003,2026-03-22T17:05:52,ticket_triaged,it_team,IT-008,category=email_calendar; priority=low
EVT-0000020,TKT-00003,2026-03-22T18:01:07,faq_checked,it_team,IT-008,match=False; confidence=0.3
EVT-0000021,TKT-00003,2026-03-22T18:58:40,ticket_escalated,it_team,IT-008,to specialist SP-006; missing_info=True
EVT-0000022,TKT-00003,2026-03-22T19:35:01,specialist_investigation_started,it_specialist,SP-006,""
EVT-0000023,TKT-00003,2026-03-22T22:46:59,specialist_solution_created,it_specialist,SP-006,root_cause=Stale OAuth token in calendar provider
EVT-0000024,TKT-00003,2026-03-23T00:11:32,specialist_response_drafted,it_team,IT-008,""
EVT-0000025,TKT-00003,2026-03-23T00:35:56,specialist_response_sent,it_team,IT-008,""
EVT-0000026,TKT-00003,2026-03-23T13:44:51,customer_resolution_accepted,customer,CUST-013,""
EVT-0000027,TKT-00003,2026-03-23T14:42:25,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000028,TKT-00004,2026-03-15T03:39:00,ticket_submitted,customer,CUST-002,channel=portal
EVT-0000029,TKT-00004,2026-03-15T09:19:35,ticket_triaged,it_team,IT-003,category=password_reset; priority=medium
EVT-0000030,TKT-00004,2026-03-15T10:59:33,faq_checked,it_team,IT-003,match=True; confidence=0.76
EVT-0000031,TKT-00004,2026-03-15T11:56:04,faq_response_drafted,it_team,IT-003,""
EVT-0000032,TKT-00004,2026-03-15T12:01:39,faq_response_sent,it_team,IT-003,""
EVT-0000033,TKT-00004,2026-03-17T16:04:46,customer_resolution_accepted,customer,CUST-002,""
EVT-0000034,TKT-00004,2026-03-17T16:44:43,ticket_closed,it_team,IT-003,accepted_first_attempt
EVT-0000035,TKT-00005,2026-01-26T05:45:00,ticket_submitted,customer,CUST-015,channel=portal
EVT-0000036,TKT-00005,2026-01-26T10:23:25,ticket_triaged,it_team,IT-007,category=email_calendar; priority=low
EVT-0000037,TKT-00005,2026-01-26T11:26:34,faq_checked,it_team,IT-007,match=False; confidence=0.28
EVT-0000038,TKT-00005,2026-01-26T12:10:46,ticket_escalated,it_team,IT-007,to specialist SP-002; missing_info=False
EVT-0000039,TKT-00005,2026-01-26T15:10:19,specialist_investigation_started,it_specialist,SP-002,""
