ticket_id,escalated_at,it_member_id,specialist_id,escalation_reason,information_provided,missing_information_flag,requested_specialist_group,handoff_summary,specific_question_for_specialist,customer_evidence_included
TKT-00001,2026-01-18T08:38:23,IT-008,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,billing_finance,Invoice total looks wrong in Billing System; category=billing_account; priority=medium; customer tried: Checked the invoice/account page twice.; impact: Finance team holding payment until corrected.,Please identify root cause and provide customer-safe resolution steps for Billing System.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00003,2026-03-22T18:58:40,IT-008,SP-006,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,identity_security,Email calendar sync issue in Email; category=email_calendar; priority=low; customer tried: Restarted mail/calendar app.; impact: User missed customer meeting.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00005,2026-01-26T12:10:46,IT-007,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,Out of office not sending in Email; category=email_calendar; priority=low; customer tried: Restarted mail/calendar app.; impact: Stakeholders unaware of leave.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00008,2026-03-04T22:11:06,IT-002,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment; missing reproduction steps,true,identity_security,"Cannot log into customer portal in CRM; category=login_access; priority=high; customer tried: Retyped password, tried a private browser window.; impact: One user blocked from logging in.",Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00008,2026-03-06T16:32:34,IT-002,SP-006,re-escalation after rejection,original ticket + first solution + customer feedback,false,identity_security,Customer rejected first response for Cannot log into customer portal; rejection='Issue recurred after a few hours'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00009,2026-02-18T07:34:18,IT-008,SP-008,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,application_engineering,Inventory App shows stale data in Customer Portal; category=software_bug; priority=high; customer tried: Refreshed browser and repeated the action.; impact: Warehouse team picking against incorrect data.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00009,2026-02-22T00:49:30,IT-008,SP-008,re-escalation after rejection,original ticket + first solution + customer feedback,true,application_engineering,Customer rejected first response for Inventory App shows stale data; rejection='Need different approach'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00010,2026-02-10T03:33:07,IT-008,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,application_engineering,Need help with a workflow in Customer Portal; category=other; priority=low; customer tried: Searched the help center but did not find a clear owner.; impact: User unable to complete task.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00011,2026-02-06T12:28:53,IT-008,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,identity_security,"Stuck in SSO redirect loop in CRM; category=login_access; priority=high; customer tried: Retyped password, tried a private browser window.; impact: Two team members cannot start the day's work.",Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00012,2026-01-19T11:58:41,IT-006,SP-001,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,hardware_field,Wireless mouse not working in Customer Portal; category=hardware_issue; priority=high; customer tried: Restarted the device and checked cables/batteries.; impact: Single user partially blocked.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
