ticket_id,customer_reply_at,resolution_accepted,customer_feedback_text,rejection_reason,verified_rejection,reopened_flag,closed_at,verified_by_it_member_id,verification_notes,next_action,closure_reason
TKT-00001,2026-01-21T11:19:17,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-21T11:55:34,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00002,2026-03-22T22:48:07,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-22T23:30:34,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00003,2026-03-23T13:44:51,true,"Worked perfectly, thanks!","",false,false,2026-03-23T14:42:25,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00004,2026-03-17T16:04:46,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-17T16:44:43,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00005,2026-01-27T14:48:05,true,Confirmed fixed. Thank you.,"",false,false,2026-01-27T16:02:28,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00006,2026-02-01T20:23:37,true,"Worked perfectly, thanks!","",false,false,2026-02-01T21:58:34,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00007,2026-01-18T17:44:50,true,"Worked perfectly, thanks!","",false,false,2026-01-18T18:01:24,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00008,2026-03-06T11:46:25,false,Tried the steps but the problem is still happening.,Issue recurred after a few hours,true,true,"",IT-002,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00008,2026-03-07T20:59:54,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-03-07T22:28:49,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00009,2026-02-21T19:56:33,false,Tried the steps but the problem is still happening.,Need different approach,true,true,"",IT-008,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00009,2026-02-25T08:13:36,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-25T08:30:05,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00010,2026-02-13T14:49:05,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-13T15:36:14,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00011,2026-02-08T03:34:06,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-08T05:33:48,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00012,2026-01-20T17:47:13,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-006,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00012,2026-01-21T14:14:27,false,Not fixed yet — escalated to vendor on our side.,Issue still persists after re-investigation,true,false,2026-01-21T18:06:48,IT-006,IT verified continued failure and closed as unresolved with vendor-side follow-up.,close_unresolved_vendor_followup,unresolved_after_reopen
TKT-00013,2026-03-20T00:31:23,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,false,2026-03-20T04:20:51,IT-001,IT verified rejection but did not reopen because no actionable internal path remained.,close_unresolved,unresolved_no_reopen
TKT-00014,2026-02-09T11:13:20,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-09T12:39:55,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00015,2026-01-21T06:27:12,true,Confirmed fixed. Thank you.,"",false,false,2026-01-21T08:19:39,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00016,2026-02-05T23:55:26,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-06T00:08:36,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00017,2026-03-11T16:50:14,true,All set — appreciate the quick turnaround.,"",false,false,2026-03-11T18:49:05,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00018,2026-03-14T10:25:02,true,All set — appreciate the quick turnaround.,"",false,false,2026-03-14T11:08:06,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00019,2026-02-11T23:19:28,true,"Worked perfectly, thanks!","",false,false,2026-02-12T00:47:20,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00020,2026-03-12T01:26:21,true,"Worked perfectly, thanks!","",false,false,2026-03-12T03:03:03,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00021,2026-02-23T21:44:00,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-23T23:27:52,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00022,2026-02-18T11:27:29,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,true,"",IT-006,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00022,2026-02-21T10:55:27,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-21T11:42:14,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00023,2026-03-23T12:49:38,true,"Worked perfectly, thanks!","",false,false,2026-03-23T14:21:51,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00024,2026-03-08T14:16:47,true,All set — appreciate the quick turnaround.,"",false,false,2026-03-08T15:42:58,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00025,2026-02-27T10:30:23,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,true,"",IT-003,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00025,2026-02-28T04:10:57,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-28T05:41:17,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00026,2026-02-06T13:41:09,true,"Worked perfectly, thanks!","",false,false,2026-02-06T15:18:36,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00027,2026-03-27T04:39:25,true,Confirmed fixed. Thank you.,"",false,false,2026-03-27T05:55:17,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00028,2026-03-06T22:26:15,true,All set — appreciate the quick turnaround.,"",false,false,2026-03-06T23:15:16,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00029,2026-03-22T00:29:49,true,Confirmed fixed. Thank you.,"",false,false,2026-03-22T01:59:59,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00030,2026-02-13T05:51:50,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,false,2026-02-13T10:58:58,IT-004,IT verified rejection but did not reopen because no actionable internal path remained.,close_unresolved,unresolved_no_reopen
TKT-00031,2026-02-04T02:36:48,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-04T03:03:40,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00032,2026-03-28T23:33:40,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-29T00:57:01,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00033,2026-03-24T10:34:21,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-24T12:05:13,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00034,2026-01-22T22:25:27,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-23T00:20:27,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00035,2026-03-17T00:00:07,true,Confirmed fixed. Thank you.,"",false,false,2026-03-17T01:18:15,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00036,2026-02-14T14:07:18,true,Confirmed fixed. Thank you.,"",false,false,2026-02-14T14:29:25,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00037,2026-02-17T03:55:37,true,Confirmed fixed. Thank you.,"",false,false,2026-02-17T05:06:53,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00038,2026-02-27T22:23:39,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-27T22:37:14,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00039,2026-02-04T13:48:12,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-04T15:15:18,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00040,2026-03-03T07:09:56,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-03T09:04:48,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00041,2026-02-10T19:09:25,true,Confirmed fixed. Thank you.,"",false,false,2026-02-10T19:38:02,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00042,2026-02-04T11:38:48,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-04T12:37:12,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00043,2026-01-19T02:04:22,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-19T03:34:23,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00044,2026-03-21T15:29:09,true,All set — appreciate the quick turnaround.,"",false,false,2026-03-21T17:28:35,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00045,2026-02-09T07:10:39,true,Confirmed fixed. Thank you.,"",false,false,2026-02-09T08:37:10,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00046,2026-02-03T23:05:52,true,Confirmed fixed. Thank you.,"",false,false,2026-02-04T00:09:57,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00047,2026-03-26T12:10:40,true,"Worked perfectly, thanks!","",false,false,2026-03-26T12:52:13,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00048,2026-01-22T02:41:25,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-22T04:40:01,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00049,2026-03-14T22:16:19,true,"Worked perfectly, thanks!","",false,false,2026-03-14T22:33:38,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00050,2026-02-23T14:04:57,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-23T14:19:30,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00051,2026-02-25T12:57:37,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-25T13:54:55,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00052,2026-01-19T15:37:08,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-19T16:23:17,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00053,2026-04-02T14:58:38,true,Confirmed fixed. Thank you.,"",false,false,2026-04-02T15:40:28,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00054,2026-02-14T14:09:18,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,false,2026-02-14T19:36:55,IT-005,IT verified rejection but did not reopen because no actionable internal path remained.,close_unresolved,unresolved_no_reopen
TKT-00055,2026-02-11T00:20:35,true,"Worked perfectly, thanks!","",false,false,2026-02-11T01:32:40,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00056,2026-03-07T23:55:19,true,"Worked perfectly, thanks!","",false,false,2026-03-08T00:30:13,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00057,2026-02-16T15:37:11,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-16T16:42:48,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00058,2026-03-25T10:08:33,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-25T11:18:21,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00059,2026-01-18T08:04:51,true,"Worked perfectly, thanks!","",false,false,2026-01-18T08:36:49,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00060,2026-03-16T09:51:13,true,Confirmed fixed. Thank you.,"",false,false,2026-03-16T10:42:58,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00061,2026-02-25T15:39:38,false,Tried the steps but the problem is still happening.,Need different approach,true,true,"",IT-005,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00061,2026-02-26T14:04:08,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-26T14:14:43,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00062,2026-01-19T09:19:44,true,All set — appreciate the quick turnaround.,"",false,false,2026-01-19T11:18:41,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00063,2026-03-27T19:15:58,true,"Worked perfectly, thanks!","",false,false,2026-03-27T19:36:51,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00064,2026-03-13T08:38:03,true,"Worked perfectly, thanks!","",false,false,2026-03-13T09:00:50,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00065,2026-01-20T02:02:02,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-20T02:50:07,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00066,2026-03-24T14:49:52,true,Confirmed fixed. Thank you.,"",false,false,2026-03-24T14:58:30,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00067,2026-02-08T01:01:06,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-08T01:46:28,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00068,2026-03-31T22:30:17,false,Tried the steps but the problem is still happening.,Need different approach,true,true,"",IT-006,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00068,2026-04-03T21:28:37,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-04-03T22:07:51,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00069,2026-01-19T21:57:56,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-003,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00069,2026-01-22T20:43:19,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-01-22T22:39:13,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00070,2026-03-11T19:06:07,false,Tried the steps but the problem is still happening.,Issue recurred after a few hours,true,false,2026-03-12T00:52:30,IT-002,IT verified rejection but did not reopen because no actionable internal path remained.,close_unresolved,unresolved_no_reopen
TKT-00071,2026-01-21T00:57:02,true,Confirmed fixed. Thank you.,"",false,false,2026-01-21T02:51:23,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00072,2026-02-08T15:03:38,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-08T16:57:53,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00073,2026-01-29T12:30:59,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-29T13:48:26,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00074,2026-01-23T19:24:17,true,Resolved. Closing the loop on our end.,"",false,false,2026-01-23T21:15:12,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00075,2026-04-02T18:00:40,true,"Worked perfectly, thanks!","",false,false,2026-04-02T18:21:10,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00076,2026-03-15T06:12:04,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-15T07:08:05,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00077,2026-03-07T10:17:36,true,"Worked perfectly, thanks!","",false,false,2026-03-07T10:36:31,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00078,2026-02-06T15:46:44,true,"Worked perfectly, thanks!","",false,false,2026-02-06T17:30:17,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00079,2026-03-22T19:56:23,true,Confirmed fixed. Thank you.,"",false,false,2026-03-22T21:07:47,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00080,2026-03-14T07:40:20,true,Confirmed fixed. Thank you.,"",false,false,2026-03-14T08:34:08,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00081,2026-03-20T14:53:38,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-20T15:16:31,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00082,2026-03-19T20:08:59,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,true,"",IT-002,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00082,2026-03-21T08:16:41,false,Not fixed yet — escalated to vendor on our side.,Issue still persists after re-investigation,true,false,2026-03-21T09:34:02,IT-002,IT verified continued failure and closed as unresolved with vendor-side follow-up.,close_unresolved_vendor_followup,unresolved_after_reopen
TKT-00083,2026-03-09T04:02:58,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-09T05:21:08,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
