ticket_id,triaged_at,it_member_id,assigned_category,assigned_priority,priority_reason,classification_confidence,needs_specialist_review_flag,intake_summary,classification_evidence,recommended_specialist_group,target_first_response_at,target_resolution_at
TKT-00001,2026-01-18T07:56:25,IT-008,billing_account,medium,tier=standard; urgency=medium; category=billing_account,0.93,false,Noor Patel at Quartz Logistics reports invoice total looks wrong in Billing System; impact: Finance team holding payment until corrected.,subject='Invoice total looks wrong'; system='Billing System'; symptom='Billing System billing record does not match the customer's expected account state.',billing_finance,2026-01-18T13:46:00,2026-01-20T05:46:00
TKT-00002,2026-03-20T10:24:42,IT-002,email_calendar,medium,tier=standard; urgency=medium; category=email_calendar,0.97,false,Quinn Tanaka at Meridian Studios reports shared mailbox missing in Email; impact: Support intake delayed.,subject='Shared mailbox missing'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-03-20T13:45:00,2026-03-22T05:45:00
TKT-00003,2026-03-22T17:05:52,IT-008,email_calendar,low,tier=standard; urgency=low; category=email_calendar,0.83,true,Sana Bose at Aurora Capital reports email calendar sync issue in Email; impact: User missed customer meeting.,subject='Email calendar sync issue'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-03-23T16:00:00,2026-03-25T16:00:00
TKT-00004,2026-03-15T09:19:35,IT-003,password_reset,medium,tier=premium; urgency=high; category=password_reset,0.79,false,Wren Ivanov at Summit Health reports password reset link expired in CRM; impact: Customer demo delayed.,subject='Password reset link expired'; system='CRM'; symptom='Reset workflow for CRM does not complete for the affected account.',identity_security,2026-03-15T11:39:00,2026-03-17T03:39:00
TKT-00005,2026-01-26T10:23:25,IT-007,email_calendar,low,tier=standard; urgency=low; category=email_calendar,0.9,true,Xavi Eskola at Helios Health reports out of office not sending in Email; impact: Stakeholders unaware of leave.,subject='Out of office not sending'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-01-27T05:45:00,2026-01-29T05:45:00
TKT-00006,2026-01-31T05:48:07,IT-001,network_connectivity,medium,tier=standard; urgency=medium; category=network_connectivity,0.89,false,Theo Zhao at Ironhill Capital reports wi-fi drops in conference room in VPN; impact: Customer demos interrupted.,subject='Wi-Fi drops in conference room'; system='VPN'; symptom='VPN connectivity is intermittent enough to interrupt work.',network_infra,2026-01-31T09:14:00,2026-02-02T01:14:00
TKT-00007,2026-01-17T17:11:15,IT-002,login_access,urgent,tier=enterprise; urgency=critical; category=login_access,0.9,false,Quinn Walsh at Pioneer Foods reports mfa prompt never arrives in CRM; impact: User cannot access required system.,subject='MFA prompt never arrives'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-01-17T17:26:00,2026-01-18T00:26:00
TKT-00008,2026-03-04T20:49:10,IT-002,login_access,high,tier=premium; urgency=high; category=login_access,0.7,false,Iris Patel at Summit Health reports cannot log into customer portal in CRM; impact: One user blocked from logging in.,subject='Cannot log into customer portal'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-03-04T20:54:00,2026-03-05T18:54:00
TKT-00009,2026-02-18T06:51:51,IT-008,software_bug,high,tier=premium; urgency=high; category=software_bug,0.88,true,Iris Eskola at Quartz Bioworks reports inventory app shows stale data in Customer Portal; impact: Warehouse team picking against incorrect data.,subject='Inventory App shows stale data'; system='Customer Portal'; symptom='Customer Portal behavior is repeatable and differs from yesterday's behavior.',application_engineering,2026-02-18T04:44:00,2026-02-19T02:44:00
TKT-00010,2026-02-10T01:38:17,IT-008,other,low,tier=standard; urgency=low; category=other,0.86,false,Noor Holm at Meridian Studios reports need help with a workflow in Customer Portal; impact: User unable to complete task.,subject='Need help with a workflow'; system='Customer Portal'; symptom='The user is unsure which team owns the Customer Portal request.',application_engineering,2026-02-10T21:05:00,2026-02-12T21:05:00
