ticket_id,faq_checked_at,it_member_id,faq_match_found,faq_id,match_confidence,faq_match_notes,search_terms,candidate_faq_ids,required_customer_info_available,faq_application_reason
TKT-00001,2026-01-18T08:07:21,IT-008,false,"",0.33,Searched FAQ knowledge base; no high-confidence match.,billing system | billing_account | invoice total looks wrong,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00002,2026-03-20T11:09:55,IT-002,true,FAQ-024,0.89,Matched FAQ pattern: out_of_office_disabled,email | email_calendar | shared mailbox missing,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00003,2026-03-22T18:01:07,IT-008,false,"",0.3,Searched FAQ knowledge base; no high-confidence match.,email | email_calendar | email calendar sync issue,FAQ-024|FAQ-025|FAQ-026,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00004,2026-03-15T10:59:33,IT-003,true,FAQ-006,0.76,Matched FAQ pattern: self_service_reset_failed,crm | password_reset | password reset link expired,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00005,2026-01-26T11:26:34,IT-007,false,"",0.28,Searched FAQ knowledge base; no high-confidence match.,email | email_calendar | out of office not sending,FAQ-024|FAQ-025|FAQ-026,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00006,2026-01-31T07:14:07,IT-001,true,FAQ-021,0.84,Matched FAQ pattern: wifi_reauth_conference_room,vpn | network_connectivity | wi-fi drops in conference room,FAQ-019|FAQ-020|FAQ-021,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00007,2026-01-17T18:59:13,IT-002,true,FAQ-004,0.89,Matched FAQ pattern: sso_redirect_unmapped_email,crm | login_access | mfa prompt never arrives,FAQ-004|FAQ-001|FAQ-002,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00008,2026-03-04T21:40:19,IT-002,false,"",0.23,Searched FAQ knowledge base; no high-confidence match.,crm | login_access | cannot log into customer portal,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00009,2026-02-18T07:19:50,IT-008,false,"",0.32,Searched FAQ knowledge base; no high-confidence match.,customer portal | software_bug | inventory app shows stale data,FAQ-014|FAQ-015,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00010,2026-02-10T02:10:48,IT-008,false,"",0.35,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | need help with a workflow,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
