ticket_id,specialist_id,investigation_started_at,solution_created_at,root_cause,solution_summary,specialist_notes,requires_follow_up_flag,diagnostic_steps,evidence_reviewed,customer_action_required,confidence_score
TKT-00001,SP-010,2026-01-18T10:01:52,2026-01-19T04:58:02,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,true,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.78
TKT-00003,SP-006,2026-03-22T19:35:01,2026-03-22T22:46:59,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00005,SP-002,2026-01-26T15:10:19,2026-01-26T22:06:46,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00008,SP-006,2026-03-05T00:22:14,2026-03-05T09:26:25,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00008,SP-006,2026-03-06T19:51:10,2026-03-06T20:55:47,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.95
TKT-00009,SP-008,2026-02-18T08:24:57,2026-02-21T01:26:15,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00009,SP-008,2026-02-22T04:27:30,2026-02-23T05:23:13,Race condition in background sync job (post-rejection deeper review),Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix. Adjusted based on customer feedback.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.93
TKT-00010,SP-008,2026-02-10T09:22:07,2026-02-11T08:17:32,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.81
TKT-00011,SP-002,2026-02-06T15:04:09,2026-02-06T17:56:31,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.76
TKT-00012,SP-001,2026-01-19T13:37:08,2026-01-20T02:54:25,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.73
TKT-00012,SP-001,2026-01-21T01:30:13,2026-01-21T07:10:39,Driver mismatch with current OS image (post-rejection deeper review),Push updated driver via MDM and confirm device reports healthy. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.82
TKT-00013,SP-006,2026-03-17T17:11:28,2026-03-17T18:28:18,Edge-case in privileged-account reset workflow,Run elevated reset workflow with ticket-approval token; confirm sign-in.,Investigated on CRM. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked CRM health/logs; compared against known password_reset patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00015,SP-003,2026-01-17T08:28:33,2026-01-18T22:34:31,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.77
TKT-00016,SP-002,2026-02-02T12:25:19,2026-02-04T22:11:27,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00019,SP-009,2026-02-10T02:05:58,2026-02-10T11:52:55,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.8
TKT-00022,SP-006,2026-02-18T19:41:43,2026-02-18T23:53:49,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.78
TKT-00023,SP-008,2026-03-22T03:06:13,2026-03-23T00:16:11,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00025,SP-006,2026-02-25T20:15:30,2026-02-25T22:06:18,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00025,SP-006,2026-02-27T15:26:26,2026-02-27T17:24:04,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.9
TKT-00026,SP-002,2026-02-05T04:32:30,2026-02-05T09:04:46,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.94
TKT-00028,SP-002,2026-03-04T03:21:27,2026-03-06T01:46:49,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00029,SP-006,2026-03-20T01:52:10,2026-03-20T02:26:54,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00031,SP-002,2026-02-02T18:22:26,2026-02-02T21:15:58,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.77
TKT-00034,SP-006,2026-01-21T17:58:59,2026-01-21T20:21:26,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Identity Provider. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.86
