ticket_id,customer_id,submitted_at,closed_at,final_status,assigned_category,true_category,assigned_priority,affected_system,faq_match_found,escalated_flag,specialist_id,resolution_accepted,reopened_flag,first_resolution_source,time_to_triage_hours,time_to_first_response_hours,time_to_resolution_hours,sla_met_first_response,sla_met_resolution
TKT-00001,CUST-003,2026-01-18T05:46:00,2026-01-21T11:55:34,closed,billing_account,billing_account,medium,Billing System,false,true,SP-010,true,false,specialist_solution,2.17,23.98,78.16,false,false
TKT-00002,CUST-007,2026-03-20T05:45:00,2026-03-22T23:30:34,closed,email_calendar,email_calendar,medium,Email,true,false,"",true,false,faq,4.66,7.14,65.76,true,false
TKT-00003,CUST-013,2026-03-22T16:00:00,2026-03-23T14:42:25,closed,email_calendar,email_calendar,low,Email,false,true,SP-006,true,false,specialist_solution,1.1,8.6,22.71,true,true
TKT-00004,CUST-002,2026-03-15T03:39:00,2026-03-17T16:44:43,closed,password_reset,password_reset,medium,CRM,true,false,"",true,false,faq,5.68,8.38,61.1,false,false
TKT-00005,CUST-015,2026-01-26T05:45:00,2026-01-27T16:02:28,closed,email_calendar,email_calendar,low,Email,false,true,SP-002,true,false,specialist_solution,4.64,17.24,34.29,true,true
TKT-00006,CUST-012,2026-01-31T01:14:00,2026-02-01T21:58:34,closed,network_connectivity,network_connectivity,medium,VPN,true,false,"",true,false,faq,4.57,7.37,44.74,true,true
TKT-00007,CUST-006,2026-01-17T16:26:00,2026-01-18T18:01:24,closed,login_access,login_access,urgent,CRM,true,false,"",true,false,faq,0.75,3.44,25.59,false,false
TKT-00008,CUST-002,2026-03-04T18:54:00,2026-03-07T22:28:49,closed,login_access,login_access,high,CRM,false,true,SP-006,true,true,specialist_solution,1.92,15.57,75.58,false,false
TKT-00009,CUST-010,2026-02-18T02:44:00,2026-02-25T08:30:05,closed,software_bug,software_bug,high,Customer Portal,false,true,SP-008,true,true,specialist_solution,4.13,72.58,173.77,false,false
TKT-00010,CUST-007,2026-02-09T21:05:00,2026-02-13T15:36:14,closed,other,other,low,Customer Portal,false,true,SP-008,true,false,specialist_solution,4.55,36.79,90.52,false,false
TKT-00011,CUST-014,2026-02-06T09:08:00,2026-02-08T05:33:48,closed,login_access,login_access,high,CRM,true,true,SP-002,true,false,specialist_solution,2.75,9.57,44.43,false,false
TKT-00012,CUST-014,2026-01-19T08:53:00,2026-01-21T18:06:48,closed,hardware_issue,hardware_issue,high,Customer Portal,false,true,SP-001,false,true,specialist_solution,0.73,19.17,57.23,false,false
TKT-00013,CUST-001,2026-03-17T04:45:00,2026-03-20T04:20:51,closed,password_reset,password_reset,medium,CRM,false,true,SP-006,false,false,specialist_solution,5.32,15.24,71.6,false,false
TKT-00014,CUST-006,2026-02-08T14:14:00,2026-02-09T12:39:55,closed,network_connectivity,network_connectivity,high,VPN,true,false,"",true,false,faq,1.83,2.65,22.43,false,true
TKT-00015,CUST-018,2026-01-16T22:36:00,2026-01-21T08:19:39,closed,hardware_issue,hardware_issue,low,Customer Portal,false,true,SP-003,true,false,specialist_solution,3.86,48.88,105.73,false,false
TKT-00016,CUST-002,2026-02-02T08:44:00,2026-02-06T00:08:36,closed,security_request,security_request,urgent,Identity Provider,false,true,SP-002,true,false,specialist_solution,0.77,62.19,87.41,false,false
TKT-00017,CUST-013,2026-03-10T06:54:00,2026-03-11T18:49:05,closed,login_access,login_access,medium,Identity Provider,true,false,"",true,false,faq,0.74,2.93,35.92,true,true
TKT-00018,CUST-011,2026-03-12T08:57:00,2026-03-14T11:08:06,closed,billing_account,billing_account,low,Customer Portal,true,false,"",true,false,faq,1.32,3.11,50.19,true,true
TKT-00019,CUST-003,2026-02-09T21:47:00,2026-02-12T00:47:20,closed,network_connectivity,network_connectivity,high,VPN,false,true,SP-009,true,false,specialist_solution,1.9,15.14,51.01,false,false
TKT-00020,CUST-012,2026-03-11T14:55:00,2026-03-12T03:03:03,closed,network_connectivity,network_connectivity,medium,Identity Provider,true,false,"",true,false,faq,2.88,5.7,12.13,true,true
TKT-00021,CUST-018,2026-02-21T15:56:00,2026-02-23T23:27:52,closed,network_connectivity,network_connectivity,medium,Identity Provider,true,false,"",true,false,faq,1.59,4.21,55.53,true,false
TKT-00022,CUST-001,2026-02-17T10:08:00,2026-02-21T11:42:14,closed,login_access,login_access,medium,CRM,true,false,SP-006,true,true,faq,5.32,8.45,97.57,false,false
TKT-00023,CUST-007,2026-03-21T13:52:00,2026-03-23T14:21:51,closed,other,email_calendar,medium,Email,false,true,SP-008,true,false,specialist_solution,5.62,35.75,48.5,false,false
TKT-00024,CUST-010,2026-03-06T06:58:00,2026-03-08T15:42:58,closed,software_bug,software_bug,high,CRM,true,false,"",true,false,faq,1.26,3.34,56.75,false,false
TKT-00025,CUST-007,2026-02-25T13:33:00,2026-02-28T05:41:17,closed,login_access,login_access,medium,CRM,false,true,SP-006,true,true,specialist_solution,1.81,9.24,64.14,false,false
TKT-00026,CUST-002,2026-02-04T21:09:00,2026-02-06T15:18:36,closed,login_access,login_access,high,Customer Portal,true,true,SP-002,true,false,specialist_solution,1.82,12.79,42.16,false,false
TKT-00027,CUST-018,2026-03-25T01:38:00,2026-03-27T05:55:17,closed,password_reset,password_reset,low,Customer Portal,true,false,"",true,false,faq,3.0,5.86,52.29,true,true
TKT-00028,CUST-002,2026-03-03T17:17:00,2026-03-06T23:15:16,closed,security_request,security_request,high,Identity Provider,false,true,SP-002,true,false,specialist_solution,4.8,57.23,77.97,false,false
