message_id,ticket_id,message_created_at,it_member_id,message_source,draft_text,sent_text,sent_at,customer_action_required,included_context,follow_up_request,quality_check_notes
MSG-000001,TKT-00001,2026-01-19T05:30:50,IT-008,specialist_solution,"Hi Noor,

Our specialist looked into 'Invoice total looks wrong'. Recommended fix:

Refresh tax engine cache for affected account; reissue invoice with corrected line items.

Let me know how this lands.

Thanks,
Maya Chen","Hi Noor,

Our specialist looked into 'Invoice total looks wrong'. Recommended fix:

Refresh tax engine cache for affected account; reissue invoice with corrected line items.

Let me know how this lands.

Thanks,
Maya Chen",2026-01-19T05:44:54,Apply the specialist fix or confirm whether the IT team should apply it on the user's behalf.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000002,TKT-00002,2026-03-20T12:23:33,IT-002,faq,"Hi Quinn,

Thanks for the ticket regarding 'Shared mailbox missing'. We've identified this as a known issue (out_of_office_disabled). Please try the following steps:

Re-enable auto-reply in mail settings, send test message, verify delivery.

Let me know if this resolves it.

Thanks,
Alex Tanaka","Hi Quinn,

Thanks for the ticket regarding 'Shared mailbox missing'. We've identified this as a known issue (out_of_office_disabled). Please try the following steps:

Re-enable auto-reply in mail settings, send test message, verify delivery.

Let me know if this resolves it.

Thanks,
Alex Tanaka",2026-03-20T12:53:31,Try FAQ steps and provide: Date range and rule preview.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000003,TKT-00003,2026-03-23T00:11:32,IT-008,specialist_solution,"Hi Sana,

Our specialist looked into 'Email calendar sync issue'. Recommended fix:

Revoke and reissue OAuth token; ask user to reauthorize on device.

Let me know how this lands.

Thanks,
Maya Chen","Hi Sana,

Our specialist looked into 'Email calendar sync issue'. Recommended fix:

Revoke and reissue OAuth token; ask user to reauthorize on device.

Let me know how this lands.

Thanks,
Maya Chen",2026-03-23T00:35:56,Apply the specialist fix or confirm whether the IT team should apply it on the user's behalf.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000004,TKT-00004,2026-03-15T11:56:04,IT-003,faq,"Hi Wren,

Thanks for the ticket regarding 'Password reset link expired'. We've identified this as a known issue (self_service_reset_failed). Please try the following steps:

Verify on-file email, resend reset link via admin console, expire any prior tokens.

Let me know if this resolves it.

Thanks,
Vera Liang","Hi Wren,
thanks for reaching out regarding 'Password reset link expired'. We've identified this as a known issue (self_service_reset_failed). Please try the following steps:
Verify on-file email, resend reset link via admin console, expire any prior tokens.
Let me know if this resolves it.
Thanks,
Vera Liang",2026-03-15T12:01:39,"Try FAQ steps and provide: Username, on-file email.",issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Message is brief; review tone and specificity before reuse.
MSG-000005,TKT-00005,2026-01-26T22:36:06,IT-007,specialist_solution,"Hi Xavi,

Our specialist looked into 'Out of office not sending'. Recommended fix:

Revoke and reissue OAuth token; ask user to reauthorize on device.

Let me know how this lands.

Thanks,
Zane Underwood","Hi Xavi,

Our specialist looked into 'Out of office not sending'. Recommended fix:

Revoke and reissue OAuth token; ask user to reauthorize on device.

Let me know how this lands.

Thanks,
Zane Underwood",2026-01-26T22:59:20,Apply the specialist fix or confirm whether the IT team should apply it on the user's behalf.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000006,TKT-00006,2026-01-31T07:57:35,IT-001,faq,"Hi Theo,

Thanks for the ticket regarding 'Wi-Fi drops in conference room'. We've identified this as a known issue (wifi_reauth_conference_room). Please try the following steps:

Forget network, reconnect with corp credentials, reauthorize device.

Let me know if this resolves it.

Thanks,
Dani Xu","Hi Theo,

Thanks for the ticket regarding 'Wi-Fi drops in conference room'. We've identified this as a known issue (wifi_reauth_conference_room). Please try the following steps:

Forget network, reconnect with corp credentials, reauthorize device.

Let me know if this resolves it.

Thanks,
Dani Xu",2026-01-31T08:36:05,Try FAQ steps and provide: Conference room name.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000007,TKT-00007,2026-01-17T19:35:32,IT-002,faq,"Hi Quinn,

Thanks for the ticket regarding 'MFA prompt never arrives'. We've identified this as a known issue (sso_redirect_unmapped_email). Please try the following steps:

Add user to SSO group in CRM admin, retry sign-in.

Let me know if this resolves it.

Thanks,
Alex Tanaka","Hi Quinn,

Thanks for the ticket regarding 'MFA prompt never arrives'. We've identified this as a known issue (sso_redirect_unmapped_email). Please try the following steps:

Add user to SSO group in CRM admin, retry sign-in.

Let me know if this resolves it.

Thanks,
Alex Tanaka",2026-01-17T19:52:37,Try FAQ steps and provide: Username and CRM tenant id.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000008,TKT-00008,2026-03-05T09:51:02,IT-002,specialist_solution,"Hi Iris,

Our specialist looked into 'Cannot log into customer portal'. Recommended fix:

Force a refresh of the user's SSO group membership and clear server-side session cache.

Let me know how this lands.

Thanks,
Alex Tanaka","Hi Iris,

Our specialist looked into 'Cannot log into customer portal'. Recommended fix:

Force a refresh of the user's SSO group membership and clear server-side session cache.

Let me know how this lands.

Thanks,
Alex Tanaka",2026-03-05T10:27:56,Apply the specialist fix or confirm whether the IT team should apply it on the user's behalf.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
MSG-000009,TKT-00008,2026-03-06T21:49:21,IT-002,specialist_solution,"Hi Iris,

Our specialist looked into 'Cannot log into customer portal'. Recommended fix:

Force a refresh of the user's SSO group membership and clear server-side session cache.

Let me know how this lands.

Thanks,
Alex Tanaka","Hi Iris,

Our specialist looked into 'Cannot log into customer portal'. Recommended fix:

Force a refresh of the user's SSO group membership and clear server-side session cache.

Let me know how this lands.

Thanks,
Alex Tanaka",2026-03-06T22:08:44,Apply the specialist fix or confirm whether the IT team should apply it on the user's behalf.,rejection acknowledgement|corrected specialist steps|confirmation request,Reply after retrying the corrected steps.,Acknowledges first attempt and explains corrected next step.
MSG-000010,TKT-00009,2026-02-21T02:52:34,IT-008,specialist_solution,"Hi Iris,

Our specialist looked into 'Inventory App shows stale data'. Recommended fix:

Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.

Let me know how this lands.

Thanks,
Maya Chen","Hi Iris,

Our specialist looked into 'Inventory App shows stale data'. Recommended fix:

Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.

Let me know how this lands.

Thanks,
Maya Chen",2026-02-21T03:19:03,Apply the specialist fix or confirm whether the IT team should apply it on the user's behalf.,issue summary|resolution steps|request to confirm outcome,Reply with whether the issue is resolved and include any remaining error details.,Includes customer-safe steps and confirmation request.
