faq_id,category,system_name,issue_pattern,symptoms,solution_steps,required_customer_info,last_updated,owner,active_flag
FAQ-001,login_access,Customer Portal,browser_redirect_loop_on_sso,Sign-in page loops between SSO and portal without completing.,"Clear cookies for portal domain, retry sign-in in private window, verify SSO cert is current.","Browser, OS, screenshot if possible.",2024-10-02,Priya Quintero,true
FAQ-002,login_access,Identity Provider,mfa_code_not_received,User reports MFA code SMS or push never arrives.,"Reseed MFA app via self-service portal; if SMS, ask user to update phone number.","Username, MFA method on file.",2024-03-26,Erin Rao,true
FAQ-003,login_access,Identity Provider,account_locked_after_failed_attempts,User cannot sign in; backend shows account locked.,"Use admin console to unlock account, ask user to wait 5 minutes, retry sign-in.",Username and approximate time of lockout.,2025-11-29,Xavi Walsh,true
FAQ-004,login_access,CRM,sso_redirect_unmapped_email,User's email is not mapped in CRM SSO settings.,"Add user to SSO group in CRM admin, retry sign-in.",Username and CRM tenant id.,2024-05-05,Iris Nair,true
FAQ-005,login_access,Customer Portal,session_token_expired,User sees 'session expired' on every action.,"Ask user to fully sign out, clear browser storage for portal, sign in again.",Browser and OS version.,2025-01-20,Olu Adler,true
FAQ-006,password_reset,Identity Provider,self_service_reset_failed,Self-service reset link does not arrive or fails.,"Verify on-file email, resend reset link via admin console, expire any prior tokens.","Username, on-file email.",2025-07-25,Erin Underwood,true
FAQ-007,password_reset,Identity Provider,reset_link_expired,User reports reset link is expired.,Generate a fresh reset link with a 24-hour TTL and resend.,Username.,2025-10-11,Hassan Bose,true
FAQ-008,password_reset,Customer Portal,service_account_password_expired,Background job fails with auth error after rotation.,"Rotate service account password, update secret in CI/CD, restart job.",Service account name.,2025-11-21,Bea Fontaine,true
FAQ-009,password_reset,CRM,policy_block_on_complexity,User cannot pick a new password due to complexity policy.,Share password rules; suggest passphrase; confirm reset succeeds.,Username.,2025-09-12,Vera Walsh,true
FAQ-010,password_reset,Identity Provider,manager_approval_for_privileged_account,User cannot reset privileged account password without manager approval.,"Request manager email approval, reset with elevated workflow.",Account name and manager email.,2025-08-17,Priya Kapoor,true
FAQ-011,billing_account,Billing System,invoice_pdf_download_fails,Invoice download spins forever.,"Clear browser cache, retry; if still failing, regenerate PDF from billing admin.",Invoice number and browser.,2025-04-04,Dani Rao,true
FAQ-012,billing_account,Billing System,wrong_tax_rate_after_relocation,Customer moved offices; old tax rate still applied.,"Update billing region in account, re-issue affected invoice with corrected tax.",New address and effective date.,2024-05-06,Chen Singh,true
FAQ-013,billing_account,Customer Portal,invoice_email_not_received,Customer reports invoice email never arrived.,"Verify recipient in billing settings, resend from admin, check spam folder note.",Recipient email and invoice number.,2024-10-14,Chen Patel,true
FAQ-014,software_bug,Customer Portal,stale_cache_after_release,User sees pre-release UI after deploy.,"Hard refresh, clear cache, log back in.",Browser version and screenshot.,2024-09-20,Hassan Grover,true
FAQ-015,software_bug,Inventory App,saved_filter_lost_on_release,User reports saved filter has disappeared.,Rebuild filter from template; engineering ticket opened for follow-up.,Filter name and approximate creation date.,2024-06-19,Bea Singh,true
FAQ-016,hardware_issue,Customer Portal,wireless_mouse_battery,Wireless mouse stops responding.,"Replace AA batteries, re-pair via Bluetooth, confirm tracking.",Mouse model.,2024-10-08,Dani Holm,true
FAQ-017,hardware_issue,Customer Portal,shared_printer_offline,Shared printer reports offline.,"Power cycle printer, clear print queue, reconnect via Print server.",Printer name and floor.,2025-10-12,Erin Adler,true
FAQ-018,hardware_issue,Customer Portal,headset_audio_quality,Headset audio crackles during calls.,"Update audio driver, swap USB port, replace cable.",Headset model and laptop model.,2025-09-15,Alex Vega,true
FAQ-019,network_connectivity,VPN,vpn_disconnects_short_intervals,VPN drops every few minutes.,"Update VPN profile, restart client, switch to backup gateway.",Region and VPN client version.,2024-11-13,Quinn Nair,true
FAQ-020,network_connectivity,VPN,vpn_split_tunnel_misconfig,User cannot reach internal apps over VPN.,"Push updated split-tunnel profile, reconnect.",Region.,2025-12-22,Theo Xu,true
FAQ-021,network_connectivity,Identity Provider,wifi_reauth_conference_room,Conference room AP requires reauth and fails.,"Forget network, reconnect with corp credentials, reauthorize device.",Conference room name.,2025-11-29,Wren Rao,true
FAQ-022,network_connectivity,VPN,dns_resolver_lag,Slow page loads on internal apps.,"Switch DNS resolver, flush local cache, retry.",Region.,2024-02-24,Uma Okafor,true
FAQ-023,email_calendar,Email,calendar_sync_token_expired,Calendar fails to sync to mobile device.,"Reauthorize calendar account on device, force sync, verify recent events appear.",Device OS and calendar app.,2024-12-24,Quinn Okafor,false
FAQ-024,email_calendar,Email,out_of_office_disabled,Auto-reply not sending.,"Re-enable auto-reply in mail settings, send test message, verify delivery.",Date range and rule preview.,2025-09-01,Zane Liang,true
FAQ-025,email_calendar,Email,shared_mailbox_missing,Shared mailbox disappeared from user's profile.,"Re-grant mailbox permission, ask user to restart mail client.",Mailbox name.,2024-07-31,Zane Chen,true
FAQ-026,email_calendar,Email,calendar_invite_double_booking,Calendar invites double-book on the user's calendar.,"Disable duplicate calendar source, reconnect single source.",Calendar source list.,2025-07-16,Uma Holm,true
